"stationName","basin","waterLevel","datetime_UTC","localDateTime","unit","warningLevel","dangerLevel","longitude","latitude"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 10:45:00","2019-07-20 16:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 11:00:00","2019-07-20 16:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 11:30:00","2019-07-20 17:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 11:45:00","2019-07-20 17:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 12:00:00","2019-07-20 17:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.77","2019-07-20 13:00:00","2019-07-20 18:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.77","2019-07-20 13:45:00","2019-07-20 19:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.78","2019-07-20 15:00:00","2019-07-20 20:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.91","2019-07-20 15:45:00","2019-07-20 21:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.88","2019-07-20 16:15:00","2019-07-20 22:00:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.86","2019-07-20 16:45:00","2019-07-20 22:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.94","2019-07-20 17:45:00","2019-07-20 23:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.91","2019-07-20 18:15:00","2019-07-21 00:00:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.89","2019-07-20 18:45:00","2019-07-21 00:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.84","2019-07-20 20:45:00","2019-07-21 02:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.84","2019-07-20 20:45:00","2019-07-21 02:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.83","2019-07-20 21:15:00","2019-07-21 03:00:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.83","2019-07-20 22:00:00","2019-07-21 03:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.82","2019-07-20 23:00:00","2019-07-21 04:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.82","2019-07-20 23:30:00","2019-07-21 05:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.82","2019-07-20 23:45:00","2019-07-21 05:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.82","2019-07-20 23:45:00","2019-07-21 05:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.82","2019-07-20 23:45:00","2019-07-21 05:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.82","2019-07-21 00:15:00","2019-07-21 06:00:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.81","2019-07-21 01:30:00","2019-07-21 07:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.81","2019-07-21 02:00:00","2019-07-21 07:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.81","2019-07-21 02:15:00","2019-07-21 08:00:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.81","2019-07-21 02:45:00","2019-07-21 08:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.81","2019-07-21 04:15:00","2019-07-21 10:00:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.81","2019-07-21 04:30:00","2019-07-21 10:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.80","2019-07-21 04:45:00","2019-07-21 10:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.80","2019-07-21 05:00:00","2019-07-21 10:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.80","2019-07-21 05:00:00","2019-07-21 10:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.80","2019-07-21 05:15:00","2019-07-21 11:00:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.80","2019-07-21 05:30:00","2019-07-21 11:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.80","2019-07-21 05:45:00","2019-07-21 11:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.80","2019-07-21 07:30:00","2019-07-21 13:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.80","2019-07-21 08:15:00","2019-07-21 14:00:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.80","2019-07-21 08:45:00","2019-07-21 14:30:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.80","2019-07-21 09:30:00","2019-07-21 15:15:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.80","2019-07-21 10:00:00","2019-07-21 15:45:00","m",2.3,2.8,"27.774022","85.425821"
"Bagmati River at Sundarijal","Bagmati","0.79","2019-07-21 11:45:00","2019-07-21 17:30:00","m",2.3,2.8,"27.774022","85.425821"
