"stationName","basin","waterLevel","datetime_UTC","localDateTime","unit","warningLevel","dangerLevel","longitude","latitude"
"Arun River at Simle","Koshi","2.06","2019-06-02 10:05:00","2019-06-02 15:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.04","2019-06-02 10:25:00","2019-06-02 16:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.05","2019-06-02 10:35:00","2019-06-02 16:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.00","2019-06-02 11:25:00","2019-06-02 17:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.03","2019-06-02 11:45:00","2019-06-02 17:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.01","2019-06-02 11:55:00","2019-06-02 17:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.01","2019-06-02 11:55:00","2019-06-02 17:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.03","2019-06-02 12:15:00","2019-06-02 18:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.01","2019-06-02 12:25:00","2019-06-02 18:10:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.00","2019-06-02 12:45:00","2019-06-02 18:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.00","2019-06-02 12:55:00","2019-06-02 18:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.01","2019-06-02 13:15:00","2019-06-02 19:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.00","2019-06-02 13:35:00","2019-06-02 19:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.98","2019-06-02 13:55:00","2019-06-02 19:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.98","2019-06-02 13:55:00","2019-06-02 19:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.98","2019-06-02 14:15:00","2019-06-02 20:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.98","2019-06-02 14:15:00","2019-06-02 20:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.98","2019-06-02 14:35:00","2019-06-02 20:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.97","2019-06-02 14:55:00","2019-06-02 20:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.97","2019-06-02 14:55:00","2019-06-02 20:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-06-02 15:15:00","2019-06-02 21:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-06-02 15:15:00","2019-06-02 21:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.97","2019-06-02 15:35:00","2019-06-02 21:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.95","2019-06-02 15:55:00","2019-06-02 21:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.95","2019-06-02 16:15:00","2019-06-02 22:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.95","2019-06-02 16:15:00","2019-06-02 22:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.94","2019-06-02 16:35:00","2019-06-02 22:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.94","2019-06-02 16:35:00","2019-06-02 22:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.95","2019-06-02 16:55:00","2019-06-02 22:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.00","2019-06-02 17:15:00","2019-06-02 23:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.01","2019-06-02 17:35:00","2019-06-02 23:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.99","2019-06-02 17:55:00","2019-06-02 23:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.98","2019-06-02 18:15:00","2019-06-03 00:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-06-02 18:35:00","2019-06-03 00:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.97","2019-06-02 18:55:00","2019-06-03 00:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.95","2019-06-02 19:15:00","2019-06-03 01:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.96","2019-06-02 19:35:00","2019-06-03 01:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","1.99","2019-06-02 20:15:00","2019-06-03 02:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.05","2019-06-02 20:35:00","2019-06-03 02:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.09","2019-06-02 20:55:00","2019-06-03 02:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.11","2019-06-02 21:15:00","2019-06-03 03:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.16","2019-06-02 21:35:00","2019-06-03 03:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.18","2019-06-02 21:55:00","2019-06-03 03:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.20","2019-06-02 22:15:00","2019-06-03 04:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.21","2019-06-02 22:35:00","2019-06-03 04:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.25","2019-06-02 22:55:00","2019-06-03 04:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.26","2019-06-02 23:15:00","2019-06-03 05:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.29","2019-06-02 23:35:00","2019-06-03 05:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.28","2019-06-02 23:55:00","2019-06-03 05:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.30","2019-06-03 00:15:00","2019-06-03 06:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.31","2019-06-03 00:35:00","2019-06-03 06:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.34","2019-06-03 00:55:00","2019-06-03 06:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.31","2019-06-03 01:05:00","2019-06-03 06:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.32","2019-06-03 01:15:00","2019-06-03 07:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.32","2019-06-03 01:35:00","2019-06-03 07:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.32","2019-06-03 01:35:00","2019-06-03 07:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.31","2019-06-03 01:45:00","2019-06-03 07:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.31","2019-06-03 01:45:00","2019-06-03 07:30:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.33","2019-06-03 02:15:00","2019-06-03 08:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.32","2019-06-03 02:35:00","2019-06-03 08:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.32","2019-06-03 02:35:00","2019-06-03 08:20:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.28","2019-06-03 02:55:00","2019-06-03 08:40:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.30","2019-06-03 03:05:00","2019-06-03 08:50:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.30","2019-06-03 03:15:00","2019-06-03 09:00:00","m",10,11,"26.9233","87.1552"
"Arun River at Simle","Koshi","2.29","2019-06-03 03:35:00","2019-06-03 09:20:00","m",10,11,"26.9233","87.1552"
